Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2018-03-02 12:24AM","2018-03-02 8:25AM","419","62","33","481","107","232","80"
"2018-03-01 12:34AM","2018-03-01 8:10AM","396","59","36","455","93","238","65"
"2018-02-27 11:30PM","2018-02-28 8:10AM","454","65","35","519","108","265","81"
"2018-02-26 10:43PM","2018-02-27 7:48AM","499","42","2","544","N/A","N/A","N/A"
"2018-02-26 12:04AM","2018-02-26 7:51AM","407","60","39","467","97","226","84"
"2018-02-24 11:56PM","2018-02-25 8:09AM","434","59","23","493","105","221","108"
"2018-02-23 12:11AM","2018-02-23 7:46AM","376","79","26","455","72","238","66"
"2018-02-21 11:39PM","2018-02-22 7:57AM","474","23","1","497","N/A","N/A","N/A"
"2018-02-20 11:04PM","2018-02-21 6:46AM","401","61","28","462","78","244","79"
"2018-02-19 11:55PM","2018-02-20 8:03AM","420","68","32","488","74","248","98"
"2018-02-18 11:14PM","2018-02-19 7:45AM","413","98","29","511","89","252","72"
"2018-02-18 12:30AM","2018-02-18 8:23AM","416","57","46","473","94","229","93"
"2018-02-17 1:13AM","2018-02-17 9:26AM","422","70","42","492","80","247","95"
"2018-02-15 11:45PM","2018-02-16 7:45AM","401","79","32","480","72","234","95"
"2018-02-14 11:21PM","2018-02-15 7:40AM","427","72","31","499","91","226","110"
"2018-02-13 11:47PM","2018-02-14 8:17AM","462","46","2","509","N/A","N/A","N/A"
"2018-02-11 9:36PM","2018-02-12 7:41AM","524","81","40","605","123","278","123"
"2018-02-10 11:24PM","2018-02-11 6:25AM","371","50","33","421","79","221","71"
"2018-02-09 11:40PM","2018-02-10 9:27AM","506","80","35","586","155","299","52"
"2018-02-09 12:14AM","2018-02-09 7:51AM","393","64","37","457","91","224","78"
"2018-02-07 10:52PM","2018-02-08 7:43AM","447","84","34","531","116","252","79"
"2018-02-07 1:00AM","2018-02-07 9:07AM","430","57","34","487","117","254","59"
"2018-02-06 12:00AM","2018-02-06 8:09AM","455","34","3","489","N/A","N/A","N/A"
"2018-02-04 11:51PM","2018-02-05 8:02AM","413","77","29","490","104","254","55"
"2018-02-04 12:49AM","2018-02-04 10:00AM","478","73","36","551","98","279","101"
"2018-02-03 12:22AM","2018-02-03 9:37AM","479","76","42","555","98","286","95"
"2018-02-02 12:49AM","2018-02-02 8:13AM","401","43","34","444","80","237","84"
"2018-01-31 11:28PM","2018-02-01 8:03AM","440","75","28","515","74","265","101"
"2018-01-30 11:24PM","2018-01-31 7:58AM","449","65","36","514","73","288","88"

