Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2018-04-29 12:07AM","2018-04-29 8:47AM","458","62","35","520","100","278","80"
"2018-04-28 12:13AM","2018-04-28 8:24AM","435","56","34","491","109","222","104"
"2018-04-26 11:27PM","2018-04-27 8:08AM","464","57","34","521","88","256","120"
"2018-04-26 12:59AM","2018-04-26 8:26AM","393","54","39","447","80","247","66"
"2018-04-24 10:27PM","2018-04-25 6:17AM","424","46","37","470","125","204","95"
"2018-04-22 9:00PM","2018-04-23 4:07AM","377","50","24","427","96","203","78"
"2018-04-22 12:12AM","2018-04-22 7:06AM","364","50","21","414","73","214","77"
"2018-04-20 10:49PM","2018-04-21 8:01AM","484","68","37","552","111","267","106"
"2018-04-19 11:34PM","2018-04-20 7:29AM","404","71","39","475","85","207","112"
"2018-04-17 11:53PM","2018-04-18 7:56AM","419","63","27","482","69","266","84"
"2018-04-16 11:57PM","2018-04-17 7:35AM","398","60","36","458","96","209","93"
"2018-04-15 11:54PM","2018-04-16 8:13AM","429","70","27","499","80","283","66"
"2018-04-15 12:22AM","2018-04-15 8:45AM","440","63","23","503","91","255","94"
"2018-04-14 12:28AM","2018-04-14 7:58AM","397","53","32","450","82","220","95"
"2018-04-12 11:19PM","2018-04-13 7:49AM","427","83","35","510","67","296","64"
"2018-04-11 11:19PM","2018-04-12 7:16AM","378","99","25","477","97","225","56"
"2018-04-11 12:38PM","2018-04-11 3:31PM","165","8","0","173","N/A","N/A","N/A"
"2018-04-11 12:37AM","2018-04-11 7:47AM","378","52","29","430","87","197","94"
"2018-04-09 10:56PM","2018-04-10 7:55AM","455","84","34","539","100","293","62"
"2018-04-08 11:12PM","2018-04-09 8:04AM","440","92","30","532","96","250","94"
"2018-04-07 10:31PM","2018-04-08 7:53AM","490","72","50","562","99","282","109"
"2018-04-07 1:12AM","2018-04-07 6:28AM","277","39","19","316","49","181","47"
"2018-04-06 12:15AM","2018-04-06 8:14AM","400","79","31","479","85","224","91"
"2018-04-04 11:27PM","2018-04-05 8:33AM","456","90","35","546","96","265","95"
"2018-04-04 12:24AM","2018-04-04 8:40AM","410","86","24","496","54","259","97"
"2018-04-03 12:24AM","2018-04-03 8:08AM","395","69","29","464","57","258","80"
"2018-03-30 11:16PM","2018-03-31 8:17AM","492","49","31","541","120","264","108"
"2018-03-30 12:17AM","2018-03-30 8:13AM","427","48","37","475","122","234","71"

