Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2018-01-30 11:24PM","2018-01-31 7:58AM","449","65","36","514","73","288","88"
"2018-01-29 11:04PM","2018-01-30 7:57AM","468","65","39","533","117","246","105"
"2018-01-29 2:14AM","2018-01-29 10:21AM","431","55","35","486","109","223","99"
"2018-01-28 12:04AM","2018-01-28 9:48AM","530","54","48","584","146","268","116"
"2018-01-27 12:31PM","2018-01-27 1:40PM","62","7","1","69","N/A","N/A","N/A"
"2018-01-27 12:10AM","2018-01-27 7:42AM","402","50","23","452","105","234","63"
"2018-01-25 11:06PM","2018-01-26 2:47AM","188","32","11","220","37","109","42"
"2018-01-24 11:08PM","2018-01-25 7:28AM","446","54","31","500","115","233","98"
"2018-01-23 11:48PM","2018-01-24 8:09AM","430","70","33","500","111","230","89"
"2018-01-22 11:05PM","2018-01-23 8:00AM","469","66","41","535","102","281","86"
"2018-01-20 3:30AM","2018-01-20 8:55AM","279","46","19","325","51","173","55"
"2018-01-18 11:45PM","2018-01-19 8:20AM","447","68","35","515","85","291","71"
"2018-01-17 11:25PM","2018-01-18 8:25AM","486","53","34","539","130","275","81"
"2018-01-16 11:37PM","2018-01-17 7:35AM","420","58","33","478","93","228","99"
"2018-01-15 11:55PM","2018-01-16 8:41AM","451","75","34","526","108","271","72"
"2018-01-14 10:52PM","2018-01-15 8:39AM","544","43","2","587","N/A","N/A","N/A"
"2018-01-14 1:53AM","2018-01-14 9:55AM","428","54","36","482","81","233","114"
"2018-01-12 11:14PM","2018-01-13 8:46AM","471","101","34","572","104","295","72"
"2018-01-12 12:10AM","2018-01-12 8:08AM","424","54","29","478","97","243","84"
"2018-01-10 11:23PM","2018-01-11 7:49AM","437","69","35","506","132","237","68"
"2018-01-09 10:47PM","2018-01-10 8:02AM","483","72","34","555","107","275","101"
"2018-01-08 9:59PM","2018-01-09 8:30AM","548","83","35","631","127","330","91"
"2018-01-07 10:55PM","2018-01-08 8:55AM","522","78","46","600","107","311","104"
"2018-01-07 10:29AM","2018-01-07 12:48PM","130","8","0","138","N/A","N/A","N/A"
"2018-01-07 1:38AM","2018-01-07 8:51AM","346","86","27","432","60","231","55"
"2018-01-05 2:44PM","2018-01-05 6:32PM","192","36","10","228","14","178","0"
"2018-01-05 9:55AM","2018-01-05 12:52PM","163","13","0","176","N/A","N/A","N/A"
"2018-01-04 9:34PM","2018-01-05 8:43AM","563","106","58","669","83","470","10"
"2018-01-04 11:14AM","2018-01-04 3:33PM","211","48","14","259","12","142","57"
"2018-01-03 10:57PM","2018-01-04 9:06AM","517","92","50","609","81","360","76"
"2018-01-02 10:37PM","2018-01-03 8:24AM","497","90","36","587","139","292","66"
"2018-01-01 2:30AM","2018-01-01 10:56AM","440","66","37","506","107","240","93"

