Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2018-05-29 2:10AM","2018-05-29 9:23AM","394","38","2","432","N/A","N/A","N/A"
"2018-05-27 10:54PM","2018-05-28 4:17AM","273","50","22","323","52","173","48"
"2018-05-26 11:27PM","2018-05-27 8:47AM","465","95","33","560","75","309","81"
"2018-05-26 12:35AM","2018-05-26 8:38AM","427","56","44","483","86","273","68"
"2018-05-23 11:54PM","2018-05-24 8:10AM","408","87","27","495","51","315","42"
"2018-05-22 11:46PM","2018-05-23 8:03AM","432","65","42","497","98","263","71"
"2018-05-22 12:03AM","2018-05-22 7:51AM","402","66","38","468","93","204","105"
"2018-05-21 12:45AM","2018-05-21 8:07AM","389","52","34","441","83","228","78"
"2018-05-20 12:38AM","2018-05-20 9:35AM","486","50","28","536","112","271","103"
"2018-05-19 12:27AM","2018-05-19 8:16AM","400","68","28","468","99","228","73"
"2018-05-17 11:56PM","2018-05-18 7:45AM","407","62","36","469","85","215","107"
"2018-05-16 11:14PM","2018-05-17 7:25AM","421","70","35","491","93","246","82"
"2018-05-15 11:58PM","2018-05-16 8:03AM","413","72","44","485","47","275","91"
"2018-05-14 11:33PM","2018-05-15 8:03AM","430","80","38","510","78","277","75"
"2018-05-14 1:30AM","2018-05-14 8:12AM","342","59","33","401","70","191","81"
"2018-05-13 12:56AM","2018-05-13 9:10AM","440","53","34","493","109","229","102"
"2018-05-12 12:30AM","2018-05-12 9:22AM","475","56","39","531","79","269","127"
"2018-05-11 3:29PM","2018-05-11 4:52PM","76","7","0","83","N/A","N/A","N/A"
"2018-05-11 2:25AM","2018-05-11 9:46AM","362","79","19","441","74","209","79"
"2018-05-09 11:43PM","2018-05-10 8:04AM","430","71","33","501","90","251","89"
"2018-05-09 12:40AM","2018-05-09 8:03AM","398","45","21","443","114","177","107"
"2018-05-08 12:16AM","2018-05-08 8:17AM","429","51","33","480","89","238","102"
"2018-05-07 9:42AM","2018-05-07 12:47PM","166","19","17","185","24","113","29"
"2018-05-06 11:27PM","2018-05-07 3:39AM","201","50","14","251","29","131","41"
"2018-05-05 11:43PM","2018-05-06 8:08AM","447","58","38","505","83","292","72"
"2018-05-05 12:54AM","2018-05-05 9:00AM","433","38","2","485","N/A","N/A","N/A"
"2018-05-03 11:26PM","2018-05-04 7:34AM","448","40","0","488","N/A","N/A","N/A"
"2018-05-01 12:32AM","2018-05-01 7:57AM","383","62","32","445","76","218","89"
"2018-04-30 12:22AM","2018-04-30 8:21AM","401","78","28","479","89","220","92"
"2018-04-29 12:07AM","2018-04-29 8:47AM","458","62","35","520","100","278","80"

